source,run_id,split,original_image_path,original_file_name,image_id,original_width,original_height,yolo_label,coco_category_id,category_name,score,raw_box_original_xyxy,preprocessing,crop_path,crop_box_xyxy,crop_width,crop_height
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,2,3,48,0.7446796298027039,"[431.2345886230469, 336.67791748046875, 488.4447326660156, 488.4099426269531]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_000_class_3_score_0p745.jpg,"[431, 336, 489, 489]",58,153
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,1,2,47,0.6912612318992615,"[470.795654296875, 327.9637756347656, 535.3466186523438, 459.93621826171875]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_001_class_2_score_0p691.jpg,"[470, 327, 536, 460]",66,133
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,31,32,77,0.6533340215682983,"[515.2780151367188, 326.0578308105469, 564.7515258789062, 446.8937072753906]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_002_class_32_score_0p653.jpg,"[515, 326, 565, 447]",50,121
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,17,18,63,0.6255456209182739,"[125.41912078857422, 336.7951354980469, 188.91981506347656, 471.37335205078125]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_003_class_18_score_0p626.jpg,"[125, 336, 189, 472]",64,136
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,22,23,68,0.6123006939888,"[382.32244873046875, 160.55819702148438, 406.6537780761719, 344.7188415527344]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_004_class_23_score_0p612.jpg,"[382, 160, 407, 345]",25,185
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,4,5,50,0.6121843457221985,"[406.7255554199219, 352.21478271484375, 444.0005798339844, 496.55023193359375]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_005_class_5_score_0p612.jpg,"[406, 352, 445, 497]",39,145
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,15,16,61,0.595756471157074,"[160.28732299804688, 176.59588623046875, 207.11398315429688, 323.18829345703125]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_006_class_16_score_0p596.jpg,"[160, 176, 208, 324]",48,148
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,28,29,74,0.586816132068634,"[458.56390380859375, 175.17266845703125, 501.2119445800781, 318.25225830078125]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_007_class_29_score_0p587.jpg,"[458, 175, 502, 319]",44,144
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,12,13,58,0.5857614874839783,"[263.292724609375, 352.6261291503906, 298.2746276855469, 500.4136962890625]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_008_class_13_score_0p586.jpg,"[263, 352, 299, 501]",36,149
yolo_two_stage,4ef020aad4,train,/work/data/classification_dataset/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg,0,640,640,10,11,56,0.5852071046829224,"[289.73272705078125, 364.7713623046875, 316.7165222167969, 479.6092529296875]","{'orig_w': 640, 'orig_h': 640, 'zoom_box': (32, 64, 608, 640), 'inference_w': 576, 'inference_h': 576, 'scale': 1.1111111111111112, 'new_w': 640, 'new_h': 640, 'pad_w': 0, 'pad_h': 0}",/work/scripts/detection_pipeline/inference pipelines/dataprep/prepared_tooth_crops/4ef020aad4/train/cate2-00098_jpg.rf.84a05e227522684a3fbc382976efa9b4.jpg/yolo_009_class_11_score_0p585.jpg,"[289, 364, 317, 480]",28,116
